Thalasseus bergii_Great Crested Tern
Gallus gallus_Red Junglefowl
Acridotheres tristis_Common Myna
Anous stolidus_Brown Noddy
Phaethon rubricauda_Red-tailed Tropicbird
Fregata ariel_Lesser Frigatebird
Egretta sacra_Pacific Reef-Heron
Phaethon lepturus_White-tailed Tropicbird
Fregata minor_Great Frigatebird
Sula sula_Red-footed Booby
Numenius tahitiensis_Bristle-thighed Curlew
Zosterops lateralis_Silvereye
Anous minutus_Black Noddy
Bulweria bulwerii_Bulwer's Petrel
Sula leucogaster_Brown Booby
Sula dactylatra_Masked Booby
Arenaria interpres_Ruddy Turnstone
Onychoprion fuscatus_Sooty Tern
Ardenna pacifica_Wedge-tailed Shearwater
Gygis alba_White Tern
Puffinus nativitatis_Christmas Shearwater
Pluvialis fulva_Pacific Golden-Plover
Calidris alba_Sanderling
Calidris melanotos_Pectoral Sandpiper
Tringa incana_Wandering Tattler
Pterodroma neglecta_Kermadec Petrel
Urodynamis taitensis_Long-tailed Koel
Zapornia tabuensis_Spotless Crake
Puffinus bailloni_Tropical Shearwater
Onychoprion lunatus_Gray-backed Tern
Anous ceruleus_Blue-gray Noddy
Ardenna tenuirostris_Short-tailed Shearwater
Ardenna grisea_Sooty Shearwater
